gene_symbol,Howard_pvalue,gene_name.x,RamakerDir,LabonteDir,DingDir,meta_meta_higher_in_MDD_pvalue,meta_meta_lower_in_MDD_pvalue,meta_direction,meta_p,minp,Corrected_p,Bonferroni_meta_p,Spearman_corr,Spearman_p,DE_Prior_Rank,gene_name.y,brain_region,region_location,slim_region_location,cns_cell_type_taxon,cell_type_taxon
SPRY2,8.2557e-07,sprouty RTK signaling antagonist 2,+--,------,++--,0.897712007119718,5.92450645017656e-06,-,1.18e-05,0.00653533,0.00319,0.00319,-0.082,0.18,0.938,sprouty RTK signaling antagonist 2,IX paravermis,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,IX paravermis <  IX  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Enteric glia,Enteric neurons
SAMD5,1.2098e-08,sterile alpha motif domain containing 5,---,------,--++,0.839178762809612,1.21154510328466e-05,-,2.42e-05,0.001158159,0.00652,0.00652,-0.082,0.18,0.882,sterile alpha motif domain containing 5,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,Di- and mesencephalon inhibitory neurons,Enteric neurons
MANEA,1.8836e-06,mannosidase endo-alpha,-++,++++++,----,4.77413462599066e-05,0.0133445639144792,+,9.55e-05,0.000771466,0.0257,0.0257,-0.082,0.18,0.87,mannosidase endo-alpha,lateral group of nuclei dorsal division,lateral group of nuclei dorsal division <  lateral group of nuclei  <  dorsal thalamus  <  thalamus  <  diencephalon  < gray matter,lateral group of nuclei dorsal division <  lateral group of nuclei  < dorsal thalamus,Hindbrain neurons,Hindbrain neurons
KMT2A,1.2822e-07,lysine methyltransferase 2A,--+,----+-,++++,0.000110433714296802,0.250443022849291,+,0.000221,0.001785206,0.0594,0.0594,-0.082,0.18,0.42,lysine methyltransferase 2A,VIIIB lateral hemisphere,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,VIIIB lateral hemisphere <  VIIIB  <  Posterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
C1QTNF7,2.6076e-06,C1q and TNF related 7,---,------,Filtered_Out,0.999805907062393,0.000174873138898357,-,0.00035,0.0176287570112155,0.0941,0.0941,-0.082,0.18,0.915,C1q and TNF related 7,central nucleus,central nucleus <  amygdala  <  cerebral nuclei  <  telencephalon  < gray matter,central nucleus < amygdala,Vascular smooth muscle cells,Sympathetic cholinergic neurons
LST1,5.4242e-09,leukocyte specific transcript 1,---,+-++++,----,0.227884768940102,0.000257252080147358,-,0.000515,0.003058614,0.138,0.138,-0.082,0.18,0.765,leukocyte specific transcript 1,substantia nigra pars reticulata,substantia nigra pars reticulata <  substantia nigra  <  midbrain tegmentum  <  mesencephalon  < gray matter,substantia nigra pars reticulata < substantia nigra,Not_Available,Not_Available
RERE,1.4299e-11,arginine-glutamic acid dipeptide repeats,+++,------,++++,0.000648175892805084,0.0225234684441489,+,0.0013,0.00061161,0.349,0.349,-0.082,0.18,0.53,arginine-glutamic acid dipeptide repeats,V lateral hemisphere,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  <  cerebellar cortex  <  cerebellum  <  metencephalon  < gray matter,V lateral hemisphere <  V  <  Anterior Lobe  <  cerebellar hemispheres  < cerebellar cortex,Cholinergic and monoaminergic neurons,Sympathetic cholinergic neurons
ASXL3,2.0589e-06,ASXL transcriptional regulator 3,--+,------,++-+,0.245952068740054,0.000665283383374689,-,0.00133,0.002256491,0.358,0.358,-0.082,0.18,0.787,ASXL transcriptional regulator 3,superior rostral gyrus,superior rostral gyrus <  frontal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior rostral gyrus < frontal lobe,Cholinergic and monoaminergic neurons,Peripheral sensory non-peptidergic neurons
EXT1,1.2011e-06,exostosin glycosyltransferase 1,--+,----+-,++++,0.0851750414803348,0.000678343690258865,-,0.00136,0.010276231,0.365,0.365,-0.082,0.18,0.81,exostosin glycosyltransferase 1,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Ependymal cells,Ependymal cells
MYRF,1.6847e-08,myelin regulatory factor,--+,-+++++,--+-,0.0264204804696269,0.000838829965611197,-,0.00168,0.006945037,0.451,0.451,-0.082,0.18,0.801,myelin regulatory factor,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Oligodendrocytes,Oligodendrocytes
PHF2,2.3153e-06,PHD finger protein 2,-++,--+-+-,+++-,0.00124177108715753,0.776452443336155,+,0.00248,0.001404682,0.668,0.668,-0.082,0.18,0.125,PHD finger protein 2,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,Enteric neurons
CRB1,2.4995e-07,crumbs cell polarity complex component 1,+-+,+++-++,+++-,0.00174882861978301,0.99865326217746,+,0.0035,0.001253558,0.941,0.941,-0.082,0.18,0.623,crumbs cell polarity complex component 1,central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
C11orf31,5.1084e-07,Not_Available,Not_Available,Not_Available,Not_Available,0.981229439997763,0.00178935553173862,-,0.00358,0.00322265974285084,0.963,0.963,-0.082,0.18,Not_Available,Not_Available,superior temporal gyrus lateral bank of gyrus,superior temporal gyrus lateral bank of gyrus <  superior temporal gyrus  <  temporal lobe  <  cerebral cortex  <  telencephalon  < gray matter,superior temporal gyrus lateral bank of gyrus <  superior temporal gyrus  < temporal lobe,Telencephalon inhibitory interneurons,Sympathetic cholinergic neurons
MEGF11,1.7823e-10,multiple EGF like domains 11,+++,+++-++,Filtered_Out,0.00187150611201437,0.998877558199959,+,0.00374,0.0156899468749612,1.01,1,-0.082,0.18,0.84,multiple EGF like domains 11,lateral mammillary nucleus,lateral mammillary nucleus <  mammillary body  <  mammillary region  <  hypothalamus  <  diencephalon  < gray matter,lateral mammillary nucleus <  mammillary body  < mammillary region,Oligodendrocyte precursor cells,Oligodendrocyte precursor cells
ACVR1B,5.281e-07,activin A receptor type 1B,+++,---+--,++++,0.00196992767854854,0.976006227488708,+,0.00394,0.021268727,1.06,1,-0.082,0.18,0.523,activin A receptor type 1B,CA3 field,CA3 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA3 field <  hippocampal formation  < limbic lobe,Cholinergic and monoaminergic neurons,Cholinergic and monoaminergic neurons
TOPAZ1,3.5999e-07,testis and ovary specific PAZ domain containing 1,-++,++++++,Not_Available,0.00232526394843331,0.998271101930587,+,0.00465,0.078682223,1.25,1,-0.082,0.18,Not_Available,testis and ovary specific PAZ domain containing 1,CA1 field,CA1 field <  hippocampal formation  <  limbic lobe  <  cerebral cortex  <  telencephalon  < gray matter,CA1 field <  hippocampal formation  < limbic lobe,Hindbrain neurons,Peripheral sensory non-peptidergic neurons
MR1,6.2536e-08,"major histocompatibility complex, class I-related",+++,++++-+,---+,0.00250311320536378,0.345764308203569,+,0.00501,0.03582915938807,1.35,1,-0.082,0.18,0.814,"major histocompatibility complex, class I-related",central glial substance,central glial substance <  myelencephalon  < gray matter,central glial substance <  myelencephalon  < gray matter,Choroid epithelial cells,Choroid epithelial cells
ZNF536,1.6243e-06,zinc finger protein 536,---,-+++++,--+-,0.156643571135207,0.00268116513634231,-,0.00536,0.0027198308153863,1.44,1,-0.082,0.18,0.527,zinc finger protein 536,corpus callosum,corpus callosum <  telencephalic commissures  <  telencephalic white matter  < white matter,corpus callosum < telencephalic commissures,Telencephalon inhibitory interneurons,Telencephalon inhibitory interneurons
KIAA1143,4.9967e-07,KIAA1143,-++,++++++,---+,0.00321782567347137,0.173028572483516,+,0.00644,0.007041498,1.73,1,-0.082,0.18,0.409,KIAA1143,locus ceruleus,locus ceruleus <  pontine tegmentum  <  pons  <  metencephalon  < gray matter,locus ceruleus < pontine tegmentum,Telencephalon projecting excitatory neurons,Sympathetic noradrenergic neurons
